source,target,repository,tag,digest,pushedAt,lastRecordedPullTime,sizeBytes
rabbitmq:4.2.7,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/rabbitmq:4.2.7,dockerhub/library/rabbitmq,4.2.7,sha256:693b21a9c09d26ca817e9b30520a5a958f90c191ee6938cd7c5f34b4e8b4dda1,2026-06-10T15:09:23.302000+00:00,2026-06-11T07:14:45.005000+00:00,116050826
rabbitmq:4.2.7-alpine,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/rabbitmq:4.2.7-alpine,dockerhub/library/rabbitmq,4.2.7-alpine,sha256:1c3b8c44251747ed3e80d83354a9ae836b4c8c3bb35981397a1fec87346624ea,2026-06-10T15:05:48.446000+00:00,2026-06-11T06:42:41.768000+00:00,84102385
rabbitmq:4.3.1,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/rabbitmq:4.3.1,dockerhub/library/rabbitmq,4.3.1,sha256:9eb488eb2457ee51d281e907fa0263482a57ad033f2acb85d67e0b5a2ce1ed92,2026-06-10T02:15:25.918000+00:00,2026-06-11T06:42:40.966000+00:00,116026316
rabbitmq:4.3.1-alpine,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/rabbitmq:4.3.1-alpine,dockerhub/library/rabbitmq,4.3.1-alpine,sha256:89444b4c97a5469ea5300ecb7e55d32a0c1552102e562131b40aea84aafc97d1,2026-06-10T02:15:39.234000+00:00,2026-06-11T07:14:44.816000+00:00,84068938
redis:7,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/redis:7,dockerhub/library/redis,7,sha256:d3be87a1060455213a204d2b0a7f04d45d19a16a98e85b3c37b7c33b5f0c489e,2026-06-09T08:19:31.232000+00:00,2026-06-09T08:24:21.195000+00:00,48602612
redis:7.4.9,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/redis:7.4.9,dockerhub/library/redis,7.4.9,sha256:784b8c7b5ab4424a1d460fe5d33328882940e9c7c32270e626f2e4d2f3cae634,2026-06-11T08:04:21.455000+00:00,,48602612
redis:8.6.4,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/redis:8.6.4,dockerhub/library/redis,8.6.4,sha256:ab54792107f8f098e4cae764611a8773e2121e805344446be03739ae2a977bdb,2026-06-11T06:49:43.254000+00:00,,53410362
redis:8.6.4-alpine3.23,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/redis:8.6.4-alpine3.23,dockerhub/library/redis,8.6.4-alpine3.23,sha256:d103b9cd0b54b98b2c38e2b19220ee7adfe4b0fb22c406baa75f321179da2f00,2026-06-10T02:03:46.576000+00:00,2026-06-10T15:01:12.203000+00:00,34505476
redis:8.8.0,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/redis:8.8.0,dockerhub/library/redis,8.8.0,sha256:aa049e689e141a4358ad1d4562dc49c88a89fbab711fd8fcc33f684c80b26301,2026-06-11T01:28:58.130000+00:00,2026-06-11T06:42:41.351000+00:00,54275774
redis:8.8.0-alpine3.23,150430853770.dkr.ecr.cn-northwest-1.amazonaws.com.cn/dockerhub/library/redis:8.8.0-alpine3.23,dockerhub/library/redis,8.8.0-alpine3.23,sha256:09160599abd229764c0fb44cb6be640294e1d360a54b19985ab4843dcf2d90f1,2026-06-11T03:49:13.807000+00:00,,37652326
